classifier,ngram,log_buckets,num_hashes,optimized_for,threshold,test_precision,test_recall,test_f1,test_f05,test_accuracy,test_fpr,test_fnr,dev_precision,dev_recall,dev_f1,dev_f05,dev_accuracy
FeatureHashing,2,20,0,Recall@FPR=0.01,0.43,0.959883,0.920008,0.939522,0.951634,0.927844,0.0599398,0.0799923,0.975936,0.930522,0.952688,0.966502,0.943696
FeatureHashing,3,20,0,Recall@FPR=0.001,0.1,0.958234,0.878466,0.916618,0.941142,0.902635,0.0596888,0.121534,0.97354,0.872033,0.919995,0.951391,0.907603
FeatureHashing,1,20,0,AUC,0.85,0.954603,0.918237,0.936067,0.947101,0.923587,0.0680723,0.0817634,0.971499,0.930562,0.95059,0.963026,0.941067
FeatureHashing,2,16,0,Recall@Prec=0.99,0.23,0.955345,0.857051,0.903532,0.933923,0.88851,0.0624498,0.142949,0.961016,0.851415,0.902902,0.936895,0.888441
FeatureHashing,1,20,0,Recall@Prec=0.95,0.85,0.954603,0.918237,0.936067,0.947101,0.923587,0.0680723,0.0817634,0.971499,0.930562,0.95059,0.963026,0.941067
FeatureHashing,1,20,0,BrierScore,0.85,0.954603,0.918237,0.936067,0.947101,0.923587,0.0680723,0.0817634,0.971499,0.930562,0.95059,0.963026,0.941067
CountMin,3,20,5,Recall@FPR=0.01,0.1,0.961828,0.87634,0.917096,0.943422,0.903478,0.0542169,0.12366,0.978718,0.841569,0.904977,0.947825,0.892335
CountMin,2,20,3,Recall@FPR=0.001,0.3,0.960065,0.931343,0.945486,0.95418,0.934573,0.0603916,0.0686568,0.977721,0.94226,0.959663,0.970417,0.951744
CountMin,2,20,5,AUC,0.45,0.960745,0.933952,0.947159,0.955264,0.936515,0.059488,0.0660484,0.978662,0.946744,0.962439,0.972107,0.954981
CountMin,2,20,2,Recall@Prec=0.99,0.25,0.959356,0.928864,0.943864,0.953098,0.93269,0.0613454,0.0711364,0.976937,0.938154,0.957153,0.968926,0.948831
CountMin,1,20,4,Recall@Prec=0.95,0.85,0.954869,0.917077,0.935591,0.947063,0.923077,0.0675703,0.0829227,0.972055,0.933114,0.952187,0.964009,0.942911
CountMin,1,20,5,BrierScore,0.85,0.954869,0.917077,0.935591,0.947063,0.923077,0.0675703,0.0829227,0.972033,0.933171,0.952205,0.964003,0.942931
