classifier,ngram,log_buckets,num_hashes,fold,recall_at_fpr_001,recall_at_fpr_0001,auc,recall_at_prec_99,recall_at_prec_95,brier_score
FeatureHashing,1,10,0,0,0.114178,0.0119869,0.901434,8.072e-05,0.0307947,0.14683
FeatureHashing,1,10,0,1,0.0914242,0.00835878,0.896908,0.000160746,0.00638965,0.150291
FeatureHashing,1,10,0,2,0.109056,0.0133718,0.901453,0.000360317,0.0860757,0.147344
FeatureHashing,1,10,0,3,0.100101,0.00868161,0.897603,0.000484555,0.00500707,0.146264
FeatureHashing,1,10,0,4,0.102749,0.0111254,0.896367,0.000685263,0.0104805,0.148492
FeatureHashing,1,12,0,0,0.138475,0.00823344,0.932448,4.036e-05,0.828954,0.104696
FeatureHashing,1,12,0,1,0.143948,0.0152307,0.930199,0.00180839,0.827881,0.106668
FeatureHashing,1,12,0,2,0.141284,0.0196173,0.933403,0.000440388,0.838618,0.106743
FeatureHashing,1,12,0,3,0.143024,0.0157884,0.930433,0.000726832,0.826368,0.104824
FeatureHashing,1,12,0,4,0.128547,0.00866656,0.928596,0.0012496,0.815463,0.10774
FeatureHashing,1,14,0,0,0.189975,0.0247407,0.948123,0.0052468,0.905638,0.0782092
FeatureHashing,1,14,0,1,0.178468,0.0177222,0.945733,0.000281305,0.906325,0.0794007
FeatureHashing,1,14,0,2,0.220914,0.00944831,0.949721,0.000440388,0.910601,0.079465
FeatureHashing,1,14,0,3,0.206784,0.023299,0.946617,0.000444175,0.903775,0.0791743
FeatureHashing,1,14,0,4,0.170469,0.0176153,0.945096,0.00128991,0.896727,0.0808384
FeatureHashing,1,16,0,0,0.233442,0.0296646,0.955708,0.00072648,0.936958,0.0644782
FeatureHashing,1,16,0,1,0.222754,0.0223839,0.953736,0.000763543,0.932205,0.0668489
FeatureHashing,1,16,0,2,0.251021,0.0325887,0.956072,0.00716631,0.934222,0.0667611
FeatureHashing,1,16,0,3,0.21809,0.0253584,0.954355,0.000847971,0.933939,0.0663747
FeatureHashing,1,16,0,4,0.19667,0.0178975,0.953225,0.00096743,0.929781,0.0678578
FeatureHashing,1,18,0,0,0.262905,0.0342253,0.960014,0.00330952,0.947734,0.0577409
FeatureHashing,1,18,0,1,0.246745,0.0288137,0.957411,0.00429995,0.943217,0.0604181
FeatureHashing,1,18,0,2,0.273881,0.0271439,0.959837,0,0.944431,0.0599119
FeatureHashing,1,18,0,3,0.240945,0.0148193,0.957597,0.000201898,0.944518,0.0598204
FeatureHashing,1,18,0,4,0.239802,0.0176959,0.957438,4.03096e-05,0.942639,0.0606557
FeatureHashing,1,20,0,0,0.26686,0.0275659,0.960908,0.00088792,0.950317,0.0553462
FeatureHashing,1,20,0,1,0.248071,0.0292156,0.958641,0.00429995,0.947758,0.0577624
FeatureHashing,1,20,0,2,0.280247,0.0227,0.961397,0.00540476,0.948675,0.0566235
FeatureHashing,1,20,0,3,0.237149,0.0233798,0.958801,0.00117101,0.947426,0.0573796
FeatureHashing,1,20,0,4,0.249919,0.0189052,0.958678,0.000483715,0.948001,0.0575203
FeatureHashing,2,10,0,0,0.0937563,0.0106954,0.864119,0.00125116,0.00920208,0.202297
FeatureHashing,2,10,0,1,0.0816187,0.00855972,0.858913,0.000241119,0.00647002,0.207394
FeatureHashing,2,10,0,2,0.0919209,0.010209,0.863767,0.00104092,0.00764673,0.204521
FeatureHashing,2,10,0,3,0.0799515,0.0123158,0.860259,0.000363416,0.0123158,0.20246
FeatureHashing,2,10,0,4,0.0827153,0.00777975,0.859035,0.000362786,0.000362786,0.205367
FeatureHashing,2,12,0,0,0.115914,0.0131977,0.907291,0.00044396,0.694233,0.162369
FeatureHashing,2,12,0,1,0.112803,0.0110513,0.903762,0.00128597,0.673646,0.165816
FeatureHashing,2,12,0,2,0.133237,0.017095,0.907548,0.00100088,0.714068,0.164911
FeatureHashing,2,12,0,3,0.118474,0.0157884,0.904572,0.00444175,0.672602,0.162041
FeatureHashing,2,12,0,4,0.107909,0.00963399,0.903389,0.000241857,0.673855,0.16372
FeatureHashing,2,14,0,0,0.166768,0.0146507,0.92946,0.00113008,0.81612,0.131476
FeatureHashing,2,14,0,1,0.156928,0.0158335,0.926336,4.01865e-05,0.810521,0.134918
FeatureHashing,2,14,0,2,0.185683,0.0134919,0.930246,4.00352e-05,0.824686,0.134933
FeatureHashing,2,14,0,3,0.159257,0.0216838,0.926967,0.00141328,0.811387,0.132367
FeatureHashing,2,14,0,4,0.139431,0.0174944,0.925539,0.00100774,0.805466,0.134475
FeatureHashing,2,16,0,0,0.225612,0.0164669,0.942113,0.00799128,0.877669,0.110392
FeatureHashing,2,16,0,1,0.220503,0.020897,0.939147,0.00144671,0.871484,0.114856
FeatureHashing,2,16,0,2,0.249379,0.0214188,0.942034,0.000120106,0.875571,0.115175
FeatureHashing,2,16,0,3,0.22019,0.0292752,0.940057,0.00577428,0.872643,0.111062
FeatureHashing,2,16,0,4,0.214769,0.0426878,0.93867,0.0291035,0.870243,0.112671
FeatureHashing,2,18,0,0,0.261654,0.0229648,0.950845,0.00427816,0.912298,0.0929212
FeatureHashing,2,18,0,1,0.27371,0.0293763,0.949039,0.000723356,0.907491,0.0941481
FeatureHashing,2,18,0,2,0.325406,0.0393947,0.951523,0.000760669,0.910041,0.0958788
FeatureHashing,2,18,0,3,0.235857,0.0299213,0.947455,0.000161518,0.907167,0.093772
FeatureHashing,2,18,0,4,0.237141,0.0227749,0.948276,0.000201548,0.908417,0.0931342
FeatureHashing,2,20,0,0,0.29031,0.0330548,0.960039,0.00480284,0.942689,0.068584
FeatureHashing,2,20,0,1,0.321411,0.0190484,0.959515,0.000924289,0.940725,0.0690341
FeatureHashing,2,20,0,2,0.328449,0.0474818,0.959936,0.00128113,0.942269,0.0695575
FeatureHashing,2,20,0,3,0.255966,0.0347668,0.957263,0.0149808,0.940198,0.0680035
FeatureHashing,2,20,0,4,0.313488,0.0340616,0.95868,0.0164463,0.940342,0.0699705
FeatureHashing,3,10,0,0,0.0819308,0.00762804,0.840339,4.036e-05,4.036e-05,0.229041
FeatureHashing,3,10,0,1,0.0747066,0.00510368,0.83357,0.000200932,0.000200932,0.234218
FeatureHashing,3,10,0,2,0.0870366,0.00672592,0.839498,0.000200176,0.00200176,0.232363
FeatureHashing,3,10,0,3,0.0754694,0.00864123,0.836514,0.000363416,0.000363416,0.229236
FeatureHashing,3,10,0,4,0.0804176,0.0112867,0.837012,0,0.0122541,0.228965
FeatureHashing,3,12,0,0,0.110223,0.00924244,0.893187,0.00092828,0.62332,0.188344
FeatureHashing,3,12,0,1,0.107579,0.0117746,0.888258,0.00100466,0.598015,0.192695
FeatureHashing,3,12,0,2,0.139763,0.0108896,0.892069,0.00084074,0.640564,0.192971
FeatureHashing,3,12,0,3,0.114839,0.0150616,0.890024,0.00383606,0.582354,0.18844
FeatureHashing,3,12,0,4,0.104684,0.0121735,0.88835,0.00181393,0.564657,0.189908
FeatureHashing,3,14,0,0,0.173467,0.0112604,0.917744,0.00064576,0.759212,0.163016
FeatureHashing,3,14,0,1,0.15303,0.0108102,0.913225,4.01865e-05,0.757836,0.164686
FeatureHashing,3,14,0,2,0.188366,0.0206181,0.917038,0.00140123,0.757827,0.169435
FeatureHashing,3,14,0,3,0.152312,0.0126388,0.914864,0.000565314,0.754492,0.163039
FeatureHashing,3,14,0,4,0.145114,0.0143502,0.913456,0.00322477,0.741213,0.164906
FeatureHashing,3,16,0,0,0.208177,0.0276062,0.930471,0.00851596,0.825685,0.143964
FeatureHashing,3,16,0,1,0.202017,0.0171194,0.926566,0.000200932,0.822215,0.147469
FeatureHashing,3,16,0,2,0.224638,0.0156938,0.92884,0.000360317,0.825486,0.149794
FeatureHashing,3,16,0,3,0.204644,0.0262467,0.92843,0.00145366,0.822936,0.142953
FeatureHashing,3,16,0,4,0.203846,0.0212835,0.926238,0.000322477,0.817438,0.145541
FeatureHashing,3,18,0,0,0.241918,0.0134802,0.93717,0.00104936,0.865359,0.129862
FeatureHashing,3,18,0,1,0.262498,0.0295772,0.933211,0.0089214,0.858222,0.132635
FeatureHashing,3,18,0,2,0.297021,0.032989,0.93527,0.00236208,0.8632,0.134798
FeatureHashing,3,18,0,3,0.228791,0.0254391,0.93393,0.00109025,0.862629,0.130523
FeatureHashing,3,18,0,4,0.250202,0.0249113,0.933623,0.0029426,0.859844,0.132295
FeatureHashing,3,20,0,0,0.271744,0.0238124,0.944254,0.0022198,0.900069,0.105784
FeatureHashing,3,20,0,1,0.309355,0.0396239,0.942331,0.00192895,0.896158,0.107787
FeatureHashing,3,20,0,2,0.325126,0.0367924,0.944799,0.00172151,0.900953,0.107737
FeatureHashing,3,20,0,3,0.269978,0.0370684,0.941723,0.000646073,0.897436,0.106846
FeatureHashing,3,20,0,4,0.251532,0.03386,0.942663,0.000564334,0.899911,0.107667
CountMin,1,10,2,0,0.121968,0.0118658,0.911024,0,0.666465,0.138791
CountMin,1,10,2,1,0.102275,0.00912233,0.908849,0.000442051,0.00458126,0.138639
CountMin,1,10,2,2,0.122027,0.0128513,0.910507,0.000360317,0.690688,0.141252
CountMin,1,10,2,3,0.111125,0.0104583,0.908895,0.000807591,0.0169594,0.13606
CountMin,1,10,2,4,0.104482,0.00636891,0.906201,0.000161238,0.00153176,0.141211
CountMin,1,12,2,0,0.151633,0.0139646,0.940541,0.00032288,0.872705,0.0905489
CountMin,1,12,2,1,0.153633,0.0126989,0.939746,0.000160746,0.876628,0.0899318
CountMin,1,12,2,2,0.174954,0.0190167,0.942247,0.00424373,0.879694,0.0916896
CountMin,1,12,2,3,0.155058,0.0102968,0.939404,0.000484555,0.86493,0.0890787
CountMin,1,12,2,4,0.150637,0.00902935,0.937504,8.06192e-05,0.86456,0.0918578
CountMin,1,14,2,0,0.212576,0.0225612,0.952054,0.00052468,0.923356,0.071239
CountMin,1,14,2,1,0.205353,0.0240315,0.950042,0.000723356,0.924409,0.0713682
CountMin,1,14,2,2,0.255705,0.0335495,0.953367,0.00888782,0.925454,0.0721232
CountMin,1,14,2,3,0.195962,0.023299,0.950244,0.00113063,0.921341,0.0722024
CountMin,1,14,2,4,0.176677,0.0268059,0.949555,0.00540148,0.916277,0.0733448
CountMin,1,16,2,0,0.252331,0.0263551,0.958119,0.00169512,0.941317,0.0614876
CountMin,1,16,2,1,0.235252,0.0245137,0.955692,0.00132615,0.940162,0.0626649
CountMin,1,16,2,2,0.262631,0.0274241,0.958261,0.0125711,0.940748,0.0630468
CountMin,1,16,2,3,0.222855,0.0176459,0.956325,0.00201898,0.942298,0.0613512
CountMin,1,16,2,4,0.235972,0.0257175,0.955898,0.000765882,0.939495,0.0633867
