classifier,ngram,log_buckets,num_hashes,precision,recall,f1,f05,accuracy,fpr,fnr
FeatureHashing,1,10,0,0.9109,0.793295,0.84804,0.88467,0.826802,0.120964,0.206705
FeatureHashing,1,12,0,0.934615,0.861978,0.896828,0.919124,0.879179,0.094006,0.138022
FeatureHashing,1,14,0,0.946986,0.902901,0.924419,0.937828,0.910054,0.0787952,0.0970985
FeatureHashing,1,16,0,0.954713,0.921921,0.93803,0.947969,0.925792,0.0681727,0.0780794
FeatureHashing,1,18,0,0.9588,0.930177,0.944272,0.952935,0.933114,0.0623092,0.0698226
FeatureHashing,1,20,0,0.959774,0.933552,0.946482,0.954413,0.935684,0.060994,0.0664477
FeatureHashing,2,10,0,0.889663,0.687212,0.775442,0.840161,0.757527,0.132861,0.312788
FeatureHashing,2,12,0,0.929926,0.757357,0.834817,0.889395,0.817413,0.0889659,0.242643
FeatureHashing,2,14,0,0.948717,0.805797,0.871436,0.916216,0.855155,0.0679016,0.194203
FeatureHashing,2,16,0,0.95882,0.840982,0.896043,0.932683,0.881121,0.0563052,0.159018
FeatureHashing,2,18,0,0.965728,0.870776,0.915797,0.945117,0.90245,0.0481727,0.129224
FeatureHashing,2,20,0,0.969288,0.91206,0.939803,0.957275,0.928821,0.0450502,0.08794
FeatureHashing,3,10,0,0.877706,0.63845,0.7392,0.81651,0.725549,0.138675,0.36155
FeatureHashing,3,12,0,0.923639,0.711107,0.803557,0.871543,0.78819,0.0916466,0.288893
FeatureHashing,3,14,0,0.94477,0.756004,0.839912,0.899834,0.824433,0.0688956,0.243996
FeatureHashing,3,16,0,0.959056,0.783737,0.862579,0.917986,0.847868,0.0521586,0.216263
FeatureHashing,3,18,0,0.966448,0.806441,0.879224,0.929561,0.865027,0.0436446,0.193559
FeatureHashing,3,20,0,0.969906,0.85023,0.906134,0.943349,0.892688,0.0411245,0.14977
CountMin,1,10,2,0.919172,0.80427,0.857891,0.893638,0.837675,0.110251,0.19573
CountMin,1,12,2,0.939502,0.889866,0.91401,0.929136,0.897997,0.0893273,0.110134
CountMin,1,14,2,0.949931,0.916453,0.932891,0.943041,0.919675,0.0753012,0.0835475
CountMin,1,16,2,0.956966,0.927659,0.942085,0.950958,0.930516,0.0650301,0.0723408
CountMin,1,18,2,0.959955,0.932393,0.945973,0.954313,0.935119,0.0606325,0.067607
CountMin,1,20,2,0.960366,0.934641,0.947329,0.955108,0.936684,0.0601305,0.0653592
CountMin,1,10,3,0.923111,0.825666,0.871673,0.901824,0.851898,0.107209,0.174334
CountMin,1,12,3,0.939247,0.904215,0.921398,0.932025,0.906017,0.0911747,0.0957846
CountMin,1,14,3,0.950761,0.922777,0.93656,0.94503,0.923842,0.074498,0.0772228
CountMin,1,16,3,0.957834,0.929456,0.943432,0.95202,0.932097,0.0637851,0.0705439
CountMin,1,18,3,0.960208,0.933127,0.946474,0.954667,0.935703,0.0602811,0.0668728
CountMin,1,20,3,0.960404,0.934815,0.947437,0.955175,0.93681,0.0600803,0.0651853
CountMin,1,10,4,0.924444,0.842154,0.881382,0.906724,0.861907,0.107299,0.157846
CountMin,1,12,4,0.939606,0.91054,0.924845,0.933645,0.909846,0.0912349,0.08946
CountMin,1,14,4,0.951305,0.92393,0.937418,0.945701,0.924846,0.0737249,0.0760699
CountMin,1,16,4,0.958348,0.929881,0.9439,0.952516,0.932662,0.063002,0.0701188
CountMin,1,18,4,0.960357,0.933327,0.946649,0.954826,0.935911,0.0600602,0.0666731
CountMin,1,20,4,0.960413,0.93486,0.947464,0.955191,0.936841,0.0600703,0.0651402
CountMin,1,10,5,0.925853,0.849573,0.886074,0.90952,0.86691,0.106064,0.150427
CountMin,1,12,5,0.939866,0.913722,0.926609,0.934518,0.911824,0.0911345,0.0862783
CountMin,1,14,5,0.952071,0.924085,0.937869,0.946339,0.925411,0.0725201,0.0759154
CountMin,1,16,5,0.95873,0.930177,0.944238,0.95288,0.93307,0.0624197,0.0698226
CountMin,1,18,5,0.960386,0.933733,0.946872,0.954934,0.936166,0.0600402,0.0662673
CountMin,1,20,5,0.960415,0.934924,0.947498,0.955206,0.93688,0.0600703,0.0650758
CountMin,2,10,2,0.909876,0.62175,0.738712,0.832699,0.73205,0.096004,0.37825
CountMin,2,12,2,0.940829,0.715313,0.812717,0.885025,0.79916,0.0701305,0.284687
CountMin,2,14,2,0.957504,0.76012,0.84747,0.910231,0.833312,0.0525904,0.23988
CountMin,2,16,2,0.965713,0.798345,0.874089,0.926851,0.859883,0.0441867,0.201655
CountMin,2,18,2,0.969708,0.853573,0.907942,0.94402,0.894552,0.0415663,0.146427
CountMin,2,20,2,0.970634,0.914533,0.941749,0.95887,0.931077,0.0431325,0.0854668
CountMin,2,10,3,0.915283,0.602602,0.726737,0.829228,0.723924,0.0869478,0.397398
CountMin,2,12,3,0.945472,0.681222,0.791884,0.877403,0.781865,0.061245,0.318778
CountMin,2,14,3,0.96093,0.728992,0.829045,0.903442,0.816844,0.0462048,0.271008
CountMin,2,16,3,0.968035,0.779023,0.863304,0.923235,0.849709,0.0401004,0.220977
CountMin,2,18,3,0.970912,0.849168,0.905968,0.943848,0.892614,0.0396586,0.150832
CountMin,2,20,3,0.970708,0.918842,0.944063,0.959872,0.933667,0.0432229,0.081158
CountMin,2,10,4,0.915134,0.59971,0.724583,0.828032,0.722261,0.0866968,0.40029
CountMin,2,12,4,0.946688,0.665282,0.781422,0.872847,0.773264,0.0584036,0.334718
CountMin,2,14,4,0.962807,0.710257,0.817471,0.898883,0.806772,0.0427711,0.289743
CountMin,2,16,4,0.969119,0.76886,0.857452,0.921134,0.844263,0.0381928,0.23114
CountMin,2,18,4,0.971299,0.848105,0.905531,0.943878,0.892198,0.0390663,0.151895
CountMin,2,20,4,0.970692,0.922146,0.945796,0.960578,0.935609,0.0434036,0.077854
CountMin,2,10,5,0.916208,0.581838,0.711706,0.821758,0.712836,0.0829518,0.418162
CountMin,2,12,5,0.948924,0.643158,0.766679,0.866532,0.761521,0.0539659,0.356842
CountMin,2,14,5,0.963699,0.696074,0.808311,0.894887,0.798874,0.0408735,0.303926
CountMin,2,16,5,0.969742,0.762091,0.853467,0.919627,0.840578,0.0370683,0.237909
CountMin,2,18,5,0.971795,0.848588,0.906022,0.944372,0.892755,0.0383936,0.151412
CountMin,2,20,5,0.970715,0.924413,0.946999,0.961088,0.936963,0.0434739,0.0755869
CountMin,3,10,2,0.897393,0.512427,0.652351,0.780171,0.667275,0.0913353,0.487573
CountMin,3,12,2,0.933184,0.608798,0.73687,0.843315,0.735123,0.0679518,0.391202
CountMin,3,14,2,0.956259,0.641503,0.767878,0.870806,0.763726,0.045743,0.358497
CountMin,3,16,2,0.967121,0.680488,0.798872,0.891978,0.791258,0.0360643,0.319512
CountMin,3,18,2,0.971636,0.738447,0.839143,0.913916,0.827528,0.0336044,0.261553
CountMin,3,20,2,0.972423,0.825775,0.893119,0.93907,0.879595,0.036506,0.174225
CountMin,3,10,3,0.901295,0.475542,0.622592,0.764418,0.648771,0.0811847,0.524458
CountMin,3,12,3,0.937903,0.538917,0.684514,0.816939,0.697369,0.0556225,0.461083
CountMin,3,14,3,0.959839,0.572305,0.717062,0.845354,0.724858,0.0373293,0.427695
CountMin,3,16,3,0.969113,0.633717,0.766323,0.87635,0.764554,0.0314859,0.366283
CountMin,3,18,3,0.973051,0.713928,0.823588,0.907197,0.813678,0.0308233,0.286072
CountMin,3,20,3,0.972955,0.82184,0.891036,0.938444,0.877547,0.0356124,0.17816
CountMin,3,10,4,0.900927,0.454958,0.6046,0.753253,0.637479,0.077992,0.545042
CountMin,3,12,4,0.939806,0.502077,0.654498,0.800266,0.677072,0.0501305,0.497923
CountMin,3,14,4,0.960823,0.534048,0.686515,0.82842,0.702874,0.0339458,0.465952
CountMin,3,16,4,0.970908,0.6055,0.745854,0.866344,0.748616,0.0282831,0.3945
CountMin,3,18,4,0.973811,0.701929,0.815814,0.903796,0.806913,0.0294277,0.298071
CountMin,3,20,4,0.973143,0.821937,0.891172,0.938609,0.877704,0.0353614,0.178063
CountMin,3,10,5,0.899749,0.419889,0.572573,0.732357,0.618092,0.0729317,0.580111
CountMin,3,12,5,0.941542,0.469191,0.626289,0.783739,0.658882,0.0454116,0.530809
CountMin,3,14,5,0.961186,0.50656,0.663464,0.814913,0.686932,0.0318876,0.49344
CountMin,3,16,5,0.971373,0.588091,0.732631,0.859358,0.738505,0.0270181,0.411909
CountMin,3,18,5,0.974423,0.694889,0.811252,0.901864,0.803013,0.0284337,0.305111
CountMin,3,20,5,0.973283,0.822838,0.89176,0.938948,0.878312,0.0352108,0.177162
