classifier,ngram,log_buckets,num_hashes,total_time_s,time_per_email_ms
FeatureHashing,1,10,0,2.852,0.0111902
FeatureHashing,1,12,0,2.829,0.0111
FeatureHashing,1,14,0,2.862,0.0112295
FeatureHashing,1,16,0,3.012,0.011818
FeatureHashing,2,10,0,5.762,0.022608
FeatureHashing,2,12,0,5.767,0.0226277
FeatureHashing,2,14,0,5.837,0.0229023
FeatureHashing,2,16,0,6.214,0.0243815
FeatureHashing,3,10,0,8.689,0.0340926
FeatureHashing,3,12,0,8.737,0.0342809
FeatureHashing,3,14,0,8.841,0.034689
FeatureHashing,3,16,0,9.386,0.0368273
CountMin,1,10,2,4.079,0.0160046
CountMin,1,12,2,4.122,0.0161733
CountMin,1,14,2,4.303,0.0168834
CountMin,1,16,2,4.506,0.0176799
CountMin,1,10,3,5.185,0.0203441
CountMin,1,12,3,5.288,0.0207482
CountMin,1,14,3,5.685,0.0223059
CountMin,1,16,3,5.95,0.0233457
CountMin,1,10,4,6.306,0.0247425
CountMin,1,12,4,6.496,0.025488
CountMin,1,14,4,7.072,0.027748
CountMin,1,16,4,7.379,0.0289526
CountMin,2,10,2,8.492,0.0333196
CountMin,2,12,2,8.581,0.0336688
CountMin,2,14,2,9.063,0.03556
CountMin,2,16,2,9.622,0.0377533
CountMin,2,10,3,11.129,0.0436663
CountMin,2,12,3,11.211,0.043988
CountMin,2,14,3,12.203,0.0478803
CountMin,2,16,3,12.927,0.050721
CountMin,2,10,4,13.435,0.0527142
CountMin,2,12,4,13.915,0.0545975
CountMin,2,14,4,15.327,0.0601377
CountMin,2,16,4,16.145,0.0633473
CountMin,3,10,2,12.9,0.050615
CountMin,3,12,2,13.074,0.0512977
CountMin,3,14,2,13.808,0.0541777
CountMin,3,16,2,14.742,0.0578424
CountMin,3,10,3,16.706,0.0655484
CountMin,3,12,3,17.055,0.0669178
CountMin,3,14,3,18.676,0.073278
CountMin,3,16,3,19.898,0.0780727
CountMin,3,10,4,20.557,0.0806584
CountMin,3,12,4,21.139,0.0829419
CountMin,3,14,4,23.546,0.0923862
CountMin,3,16,4,25.141,0.0986444
